experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred
Exp_005,SVR,33.00488294037129,26.488572033563056,1.246004612802516,30.111402181625287,2.8934807587460014,False,Inlier,0.6690622736479481,-0.49777906688613827,4.922211312783627,59,0.3881578947368421,9.111535432467434,2.7086237380605467,12.383688995814023,4.1984497168956665,-0.9123459802816548,0.08765401971834519,0.3962984310553451,3.5094623718820515
Exp_005,LSTM,20.932732520420846,16.188385103396183,1.293071074521778,30.111402181625287,-9.178669661204442,False,Inlier,0.25701839627403145,-0.4840428465817075,6.518266839918748,47,0.3092105263157895,11.610721588134766,2.1529738181515743,17.657481545458023,4.64650957377351,-1.1066275207188534,0.1066275207188534,0.6829166882371392,4.597985744476318
Exp_005,CNN,27.217921422879286,18.14500175991139,1.500023079800032,30.111402181625287,-2.8934807587460014,False,Inlier,1.555352691672822,-0.8537727008373969,7.964504042482065,52,0.34210526315789475,9.395423889160156,2.1497101093593396,18.155207923283424,4.7966866460476245,-0.9925150949020999,0.007484905097900119,0.9349501467021611,5.237540245056152
Exp_005,Transformer,11.091662917123376,6.160671137625088,1.800398474345307,30.111402181625287,-19.01973926450191,True,Type2,0.3996236299707286,-0.32705802555698255,4.51515166042677,5,0.03289473684210526,3.07000732421875,1.0842963911985095,10.635379473707289,4.73773003727312,-1.0939446609275187,0.09394466092751874,0.32159053140367777,1.8552377223968506
Exp_006,RF,34.44634306539539,18.73863913293123,1.8382521175115372,27.508118220284032,6.938224845111357,False,Inlier,-0.5845152148611844,-0.7493611481425209,4.651042376239076,41,0.26973684210526316,7.153214016559609,1.3485269969092997,8.414301589882465,3.888868621330971,-0.9042863136722205,0.09571368632777955,0.30979667707672753,1.1121485496451833
Exp_006,XGB,36.03216810950841,21.839042014326445,1.6498969179083613,27.508118220284032,8.52404988922438,False,Inlier,-0.3344784103344523,0.6896036714465574,7.78651471231498,40,0.2631578947368421,9.866630554199219,1.4046563662980731,7.5853414800519685,3.5180902221957506,-0.816503356069403,0.18349664393059695,0.3356712908546418,15.570231437683105
Exp_006,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,27.508118220284032,4.957927347512303,False,Inlier,-0.8863365970657269,1.0146453818064556,5.680806313444435,54,0.35526315789473684,9.214486319332792,2.630997248623068,12.978754331920523,4.168270382575141,-0.8933800904135772,0.10661990958642276,0.4412107327101346,1.7343909616324993
Exp_006,LSTM,21.059754144550364,16.079428928539993,1.3097327173834266,27.508118220284032,-6.448364075733668,False,Inlier,0.3030987772430964,-0.435743494266396,6.49623425801595,54,0.35526315789473684,11.115619659423828,2.2068752175883244,20.486566285462263,5.11201117918543,-1.0715519593909233,0.07155195939092329,0.8651530748693191,7.782101631164551
Exp_006,CNN,22.550190872771733,12.673903823793426,1.7792616376366217,27.508118220284032,-4.9579273475123,False,Inlier,0.3960671846437709,-0.21552940600283593,6.741169164383334,49,0.3223684210526316,8.139724731445312,2.2385176043761406,16.627962996777978,5.066547880591736,-0.9652048626949141,0.03479513730508588,0.8079109547026757,2.554086685180664
Exp_006,Transformer,8.112535041063333,4.549866416563165,1.7830270821865806,27.508118220284032,-19.3955831792207,True,Type2,-0.4891172135570972,-0.35158720800582427,2.5319936041738473,8,0.05263157894736842,3.32061767578125,1.0524938498672687,9.365289507193483,4.463997678287248,-0.9803675817613774,0.019632418238622606,0.2718314042166617,3.683807134628296
