experiment,model,outlier_type,val_rmse_zscore,gap_ratio,gap_zscore,mono_violations,mono_rate,max_jump,mean_abs_diff,mean_rolling_var,mean_ma_dev,slope,slope_dev,slope_consistency,final_pred,mean_corr_with_others,min_corr_with_others,rank_in_experiment,mean_abs_div,max_abs_div,div_growth_ratio,div_sign_cons,early_div,late_div,val_rmse
Exp_006,CNN,Inlier,0.3960671846437709,1.7792616376366217,-0.2155294060028359,49,0.3223684210526316,8.139724731445312,2.238517604376141,16.627962996777978,5.066547880591736,-0.965204862694914,0.0347951373050858,0.8079109547026757,2.554086685180664,-0.1186625621149877,-0.2777684071319082,6,5.174531091378765,23.052506907093537,0.9279679508100418,0.5228758169934641,4.5467654297510425,4.219252598660014,22.550190872771733
Exp_006,Transformer,Type2,-0.4891172135570972,1.7830270821865806,-0.3515872080058242,8,0.0526315789473684,3.32061767578125,1.052493849867269,9.365289507193484,4.463997678287248,-0.9803675817613774,0.0196324182386226,0.2718314042166617,3.683807134628296,-0.1077849928952903,-0.3548670771672171,5,3.691024544121335,11.481969427204632,0.2388039577026982,0.7516339869281046,8.297800764510214,1.9815476627935136,8.112535041063333
Exp_007,RF,Inlier,1.1926086403546483,3.04190969637785,0.7086739697734709,40,0.2631578947368421,9.049395640148305,1.486394243186362,9.7386780793697,3.9892757466670647,-0.8600186183813655,0.1399813816186345,0.4529028813016357,0.0331631287521128,0.24646306976756,-0.4915096648126817,3,7.381542554939963,22.291251115237745,0.0701806464090173,0.8758169934640523,14.844803248999966,1.041817887829499,35.841982175332184
Exp_007,XGB,Inlier,-0.2018135383244335,1.1466065177235272,-0.88422970139185,47,0.3092105263157895,10.392311096191406,1.5701594603689093,6.7340082161987525,3.078332251999831,-0.770356678798783,0.229643321201217,0.2861333117325954,32.0697021484375,-0.2268113115161613,-0.6340566099583115,6,8.87064029709631,29.526676672509325,3.182586797040057,0.7058823529411765,6.7700173040808656,21.54616768770049,36.63357974644387
Exp_007,SVR,Inlier,-0.7779504818899632,1.294477654433925,0.710152479583044,57,0.375,8.799390769833863,2.6911595213777537,13.079097260259353,4.193562093302388,-0.8991238463928948,0.1008761536071052,0.4385252697878847,2.750242197889065,0.3068226601830325,-0.2034460224903227,1,5.096978458558533,16.525836127336078,0.1262805635123398,0.7516339869281046,11.523720621214682,1.455221933805761,32.50359380743092
Exp_007,LSTM,Inlier,0.0840686414522243,1.3448996080819298,-0.3338004831368806,48,0.3157894736842105,10.566749572753906,2.3349699001563224,20.16231222467757,5.010277363976721,-1.062983215565372,0.062983215565372,0.8221335326396886,5.728187084197998,0.1192105587925601,0.0079408580458148,5,3.966112078546845,15.101651874115303,0.3849335549711614,0.5163398692810457,7.8495190321821555,3.021543265871668,20.455992565405804
Exp_007,CNN,Inlier,-1.529141847337941,1.9485483623524535,0.1714018179351293,43,0.2828947368421052,12.525360107421877,2.8183193520495764,24.519361789982906,5.843172794274367,-1.129240571860596,0.129240571860596,0.9885185248026108,2.3111448287963867,0.2726098535142993,0.093208393272813,2,8.376374830302787,41.40547752297496,0.2725839574763008,0.673202614379085,18.74325784240351,5.10911139868106,14.798556819350557
Exp_007,Transformer,Inlier,2.226778287286356,4.051586821008954,2.8517205764953366,7,0.0460526315789473,3.076934814453125,1.0950396625619183,10.13860210091214,4.674101713802177,-1.0735569945907577,0.0735569945907577,0.2930123106597814,2.335808753967285,0.1951144461748044,-0.6340566099583115,4,5.451144388746918,14.700309753417969,0.1431696794757221,0.7647058823529411,11.026608977657416,1.5786760730353326,17.216426297947443
Exp_008,RF,Inlier,0.1332145565115168,2.0431913071536942,-0.5011106981956609,34,0.2236842105263158,9.135121147435749,1.3316554704490595,8.784020302243961,3.881586823849161,-0.8813841222221553,0.1186158777778446,0.403135616977771,0.2847125433750771,0.3012323949894071,-0.2244735956531317,3,3.5770746987804265,19.73278914613604,0.2708501142848253,0.7058823529411764,5.59843760751308,1.5163374658113815,35.0100020002264
Exp_008,XGB,Inlier,0.1974587180747928,1.4594477352634376,0.0940523170668595,38,0.25,6.756126403808594,1.1028428705115068,5.226726675966645,3.0173507232539367,-0.7047511933644349,0.2952488066355651,0.2539432621108686,27.095613479614254,0.1581395112539943,-0.1633310540266826,5,9.568914678375496,23.972989062666517,3.085394136056715,0.6928104575163399,7.005535128406345,21.614837005124265,38.443606603333606
Exp_008,SVR,Inlier,-0.9208334845726208,1.3072900331927797,1.0294325570705702,55,0.3618421052631579,9.273721987132047,2.724862964602916,13.330734861699524,4.204414772092266,-0.8946034656714694,0.1053965343285305,0.4427660917260151,1.872720757723613,0.3707464723116331,-0.0582571599452785,2,2.471363784612025,13.395811423378618,0.3916772313387865,0.6535947712418301,5.459675412849723,2.138430549713426,32.45409479904099
Exp_008,LSTM,Inlier,-0.5958404936641328,1.585230534973071,0.3628792024479803,52,0.3421052631578947,11.239219665527344,2.1139928541685404,20.49640868740704,5.153042494680565,-1.0851415123807926,0.0851415123807926,0.8210140961218253,4.393324851989746,0.2484811121700624,-0.1131308168257642,4,6.409222692392431,30.00914301937348,0.1649994277652129,0.5032679738562091,18.858588877248728,3.11165637320545,18.581807483017837
Exp_008,CNN,Inlier,-0.2574477655780792,1.652031682313278,-0.5063333211797119,43,0.2828947368421052,6.398323059082031,2.0691605241675126,15.65194969304782,4.953156012911955,-0.9118552770784998,0.0881447229215002,0.7984165378501367,4.372528076171875,-0.1670262472573323,-0.2759386098358044,6,7.0366897553739856,29.02995473154823,0.4352448805771,0.7254901960784313,3.8258898626761138,1.6651989763816029,19.91888764366468
Exp_008,Transformer,Inlier,2.064524063516352,3.305590795119977,1.7983408324919556,7,0.0460526315789473,3.971160888671875,1.2754700356408168,14.51345438968156,5.323443288712323,-1.1668611625388567,0.1668611625388567,0.4909603536668662,1.189978837966919,0.4026204082084604,-0.2759386098358044,1,9.334956691746518,37.649205670719965,0.1631377139951047,0.5620915032679739,24.407465576060577,3.981778138492735,16.67253762155562
Exp_009,RF,Inlier,-0.4990323694767919,1.540771115995796,-1.1097109309530897,22,0.1447368421052631,6.657039523576557,1.0555989270573567,8.038250476407683,3.864570144732164,-0.9032928552846576,0.0967071447153423,0.3425673313747672,1.5021062712652578,0.3772996929489574,-0.4488441085971673,2,3.9270795508004617,17.0528345513817,0.1384243511551034,0.7777777777777778,8.199000463315661,1.1349413192548627,34.51347581019367
Exp_009,XGB,Type1,1.934147618548277,1.1156314312189308,-0.981091522816592,48,0.3157894736842105,7.108734130859375,1.1889449671695107,3.3985898755693795,2.0799270758899446,-0.5126274411376315,0.4873725588623685,0.205009212869546,54.12784576416016,-0.1747743481924914,-0.4488441085971673,6,20.78723244598252,51.81928584265654,3.333121956420211,0.7843137254901961,13.39512365012514,44.64758074719574,46.3165642194426
Exp_009,SVR,Inlier,-0.9882414844518445,1.3071145185237911,1.0250587918104643,56,0.3684210526315789,9.185766812491522,2.7165921202305205,13.29789286369668,4.195841339717986,-0.8952505244972708,0.1047494755027291,0.4442887524564389,2.6610615792285444,0.3966337114327705,-0.2639693312913369,1,3.6736609583516007,19.56195797702153,0.205485588883731,0.6993464052287581,10.101736645966536,2.0757613034447995,32.43074262216253
Exp_009,LSTM,Inlier,0.9632996165800743,1.2983616995362015,-0.4687061979893867,58,0.3815789473684211,14.181198120117188,3.118698653421904,28.72738044852891,5.323624674501429,-1.1201156230452336,0.1201156230452336,0.8378127647696273,3.3972983360290527,0.2880834013182473,-0.1772332790889672,3,7.1501322552559845,36.68351364135742,0.1942058482359319,0.5882352941176471,19.080185396166225,3.705483589361302,22.87961285883816
Exp_009,CNN,Inlier,0.2358215517811956,1.5539888650844902,-0.7304254780357261,44,0.2894736842105263,9.097908020019531,2.7701366622197,23.298784941882207,5.815777532709796,-1.1411118797567763,0.1411118797567765,1.0386813395496115,1.9560582637786863,0.2522420036675552,0.0726939938040332,5,12.78782964393049,35.660628435268166,0.1985722258272568,0.7450980392156863,27.820572303244,5.524392966043295,21.904980153325365
Exp_009,Transformer,Inlier,1.9452218359267264,3.1755744818029945,1.6147519847163925,9,0.0592105263157894,3.571640014648437,1.1536390310839604,11.875245726252595,4.843217218812663,-1.0337943016748616,0.0337943016748616,0.455293942961932,0.8637404441833496,0.2527995847709529,-0.1126276156013678,4,3.2586510616483406,28.367613908900974,0.1532769257661257,0.5359477124183006,8.722260179627463,1.3369212260655936,16.272627350213188
Exp_010,RF,Inlier,1.1309735561397982,3.539116577305475,1.3109591262751688,47,0.3092105263157895,9.54645198241645,1.6188544179117976,9.69230000293765,3.8943072034675232,-0.8551653266090804,0.1448346733909196,0.4214797756257136,0.0805562307910996,0.3336260142932677,-0.3082599168011229,2,5.136715329055967,26.49246755560219,0.098441020692021,0.7254901960784313,13.578072612265272,1.3366393269817698,35.793577932813
Exp_010,XGB,Inlier,-0.2957036345190529,1.681723881690326,0.789129388086055,51,0.3355263157894737,9.448234558105469,1.978109366015384,8.986025604710381,3.6103818887892025,-0.8307929859708681,0.1692070140291318,0.3143038011266401,13.13903522491455,0.2748343796912436,-0.1509093602567618,3,5.859421818744896,23.57704148642739,1.1947312046898164,0.6862745098039216,7.935584403355143,9.480890314138207,36.20794637727159
Exp_010,SVR,Inlier,0.5719559573360444,1.2460165649557269,-0.4974812233338144,60,0.3947368421052631,8.866483421195426,2.738224875169438,12.683320790498534,4.216771712889802,-0.9131343321604812,0.0868656678395187,0.4167095492221422,4.245662191278655,0.3465567494372152,-0.2408636493886759,1,3.0138264949910294,12.592860429227954,0.1676080087743628,0.5816993464052287,7.586772459464815,1.2716038249550732,32.97124236538622
Exp_010,LSTM,Inlier,1.60623868996412,1.1220991278136982,-0.9796622977161386,58,0.3815789473684211,11.715858459472656,2.766363595661364,25.889492690349464,5.440179038282771,-1.0979125614999492,0.0979125614999492,0.9854034878870158,7.610740661621094,0.2168479373290369,-0.0635334654872584,4,6.089861517911708,26.458374071657005,0.20275502481568,0.5751633986928104,16.478318642299154,3.3410619052400485,24.651889120451425
Exp_010,CNN,Inlier,-1.0012740777353508,2.22175645033872,0.7958615329643416,54,0.3552631578947368,9.130355834960938,2.469937958215412,17.45938772809356,4.9765154134807945,-1.015653757087802,0.0156537570878021,0.7362435677941761,1.1386189460754397,-0.1208935473166435,-0.3082599168011229,6,6.064502133355183,25.62614312525463,0.4914682450451151,0.6797385620915033,7.927141935349284,3.8959385351896505,16.923956041243358
Exp_010,Transformer,Type2,0.3029352425411766,2.5578256448873367,0.74246300581311,1,0.006578947368421,2.696533203125,1.12001727756701,11.525285891532622,4.878915548393842,-1.0456787953729794,0.0456787953729793,0.4043479201978411,2.97085952758789,0.1758026095629561,0.0721860815920975,5,4.774559813742411,19.8301962515136,0.114818684393641,0.6339869281045751,10.409993853887697,1.1952617988492742,10.767555982711226
Exp_011,RF,Inlier,0.5295481960237891,2.206440705122052,-0.3033606408739632,33,0.2171052631578947,8.296759890270373,1.329065710635316,8.923315572446565,3.909634544699149,-0.8838279044450174,0.1161720955549826,0.411571180946811,0.1376805108414502,0.1453297800329808,-0.2153350356152611,2,4.644868530522328,13.939616595696592,0.1360048926394856,0.8627450980392157,9.395517249130922,1.2778363147604863,35.32125702404675
Exp_011,XGB,Inlier,-0.6410801334930655,1.3383159381837126,-0.2847374724581301,26,0.1710526315789473,6.86541748046875,1.062525504513791,7.030928035794754,3.641978546623027,-0.8612854857065972,0.1387145142934027,0.2807053569480141,14.760661125183104,0.0182715985366078,-0.1984259799484106,3,4.291409815853955,10.768104297202768,2.426716675494738,0.7450980392156863,3.818825304997626,9.267207048439015,34.64224595891734
Exp_011,SVR,Inlier,0.5722939356041898,1.2453611992672695,-0.5138127111653445,60,0.3947368421052631,8.884516840620094,2.7016893485251363,12.440239947316073,4.202123820950139,-0.9133972565320214,0.0866027434679785,0.4062681735959117,3.4540958756567197,0.1975193355995262,-0.1826352930611427,1,3.456782632125796,12.84597041120378,0.1763917496271944,0.6797385620915033,7.909859534535974,1.3952339626021464,32.97135945131538
