experiment,model,outlier_type,mean_corr_with_others,min_corr_with_others,max_corr_with_others,std_corr_with_others,rank_in_experiment
Exp_049,SVR,Inlier,0.4651206484074871,0.19684988662118041,0.8064600238385037,0.2417609494095968,2
Exp_049,LSTM,Inlier,0.0013317027024644635,-0.21990732540983754,0.19684988662118044,0.14463359770021542,6
Exp_049,CNN,Inlier,0.1504425319619021,-0.08148636060919656,0.3029473965722929,0.14018578574715093,5
Exp_049,Transformer,Type2,0.4107865233037873,0.007273414506599479,0.6895942864982582,0.3055693650748577,3
Exp_050,RF,Inlier,0.03201581203525774,-0.4945793826863078,0.7829282694883636,0.5406133338251499,3
Exp_050,XGB,Inlier,-0.1952990056643475,-0.4945793826863078,0.004448356245115331,0.17072760505265447,6
Exp_050,SVR,Inlier,0.15363939218825032,-0.32720882824972514,0.7829282694883635,0.48942583999855027,1
Exp_050,LSTM,Inlier,0.1386326551476882,-0.3141316693748834,0.7168450455730306,0.43741231523855534,2
Exp_050,CNN,Inlier,-0.14123976216192427,-0.32720882824972514,0.4735409246036623,0.30990384309140867,5
Exp_050,Transformer,Inlier,-0.1012208039857315,-0.39876590311287874,0.4735409246036624,0.30728082324366446,4
Exp_051,RF,Inlier,0.3425615460959236,-0.26645676850737127,0.6843392308882741,0.345830168226069,1
Exp_051,XGB,Inlier,-0.1551659696021058,-0.4381403955077003,-0.014696181526459379,0.16996315260358247,6
Exp_051,SVR,Inlier,0.3237034507534833,-0.03270533143122653,0.6843392308882741,0.24939721604439058,2
Exp_051,LSTM,Inlier,0.21856998325049065,-0.02892673951827474,0.487423006565207,0.2079494900761217,4
Exp_051,CNN,Inlier,0.2362951562571986,-0.43814039550770034,0.6059936332958065,0.35830986298938955,3
Exp_051,Transformer,Inlier,0.11562921244290467,-0.028926739518274753,0.291976344383859,0.1259317288512416,5
Exp_052,RF,Inlier,0.1684607757416013,-0.31009685657904074,0.7741384289198703,0.43317510576300305,2
Exp_052,XGB,Inlier,-0.17066643398538564,-0.5242730826792608,0.02485053095942294,0.213120764297977,6
Exp_052,SVR,Inlier,0.1665390409868602,-0.25707101632073276,0.7741384289198701,0.383495466479363,3
Exp_052,LSTM,Inlier,-0.08040454850098896,-0.5242730826792606,0.16236781994547744,0.24133292009826784,4
Exp_052,CNN,Inlier,-0.1444258263993578,-0.30130795523080467,-0.01360560647397617,0.11487414881837767,5
Exp_052,Transformer,Inlier,0.19669741423317139,-0.106262416459009,0.5172024416525041,0.24267263121528596,1
Exp_053,RF,Inlier,0.29343026596861777,-0.4134537459593094,0.7703366125770197,0.4099307735400169,3
Exp_053,XGB,Inlier,-0.20489664812020042,-0.4134537459593094,0.11467820570347745,0.17740052205535572,6
Exp_053,SVR,Inlier,0.30147144277624804,-0.2202569411184818,0.7703366125770197,0.37818990164428873,2
Exp_053,LSTM,Inlier,0.16410025861028885,-0.19390590087293244,0.36845967284384895,0.20659240039784765,4
Exp_053,CNN,Inlier,0.021693472993528955,-0.3115448583537558,0.21706896092395075,0.18347892212543118,5
Exp_053,Transformer,Inlier,0.3820032338362294,0.11467820570347746,0.6567124859874008,0.22705850680658632,1
Exp_054,RF,Inlier,0.12363762113000007,-0.3347253727082733,0.7615852051796874,0.4013959477321036,2
Exp_054,XGB,Inlier,-0.06323564436864373,-0.3360839718250138,0.4527162421643769,0.2846930873610343,4
Exp_054,SVR,Inlier,0.09687150974995673,-0.23011187103807698,0.7615852051796874,0.3931073340154019,3
Exp_054,LSTM,Inlier,-0.1516024448107164,-0.33608397182501387,0.05801332523126396,0.12551076740392086,5
Exp_054,CNN,Inlier,-0.19623013859753158,-0.3347253727082733,0.028737646523141702,0.12484750211385326,6
Exp_054,Transformer,Inlier,0.1459405290463886,-0.28103130581587854,0.45271624216437695,0.2975389000340622,1
Exp_055,RF,Inlier,0.18375548485511795,-0.5033379205439763,0.8179714052525433,0.4586037498896034,3
Exp_055,XGB,Type1,-0.23142525625113866,-0.5033379205439764,-0.005138424800144703,0.1916743690577336,6
Exp_055,SVR,Inlier,0.2043243534466029,-0.3371191853900961,0.8179714052525432,0.4239705703139196,2
Exp_055,LSTM,Inlier,0.23241862140615277,-0.01393662404758227,0.5536352616114035,0.22395207750651194,1
Exp_055,CNN,Inlier,-0.02234513659508482,-0.13909017077255387,0.22094042576376494,0.12759638558051525,5
Exp_055,Transformer,Inlier,0.010342613517770877,-0.2898046415927482,0.3366416418362543,0.20483585603233187,4
Exp_056,RF,Inlier,0.2395758765602432,-0.2701224413061527,0.8034618908320029,0.39931969453866584,2
Exp_056,XGB,Inlier,0.012138085429551342,-0.17872127263451143,0.2187997223114147,0.16416852969158813,4
Exp_056,SVR,Inlier,0.29074153439409184,-0.10432483995446609,0.8034618908320029,0.3656529533406883,1
Exp_056,LSTM,Inlier,-0.16475174293156156,-0.2844000667674614,0.013809906004783809,0.11058890207166447,6
Exp_056,CNN,Inlier,-0.041376835517653664,-0.17833651827238184,0.030582027330911157,0.07871644740809193,5
Exp_056,Transformer,Type2,0.2219628014386123,-0.2844000667674614,0.6166908262257486,0.3462523246004395,3
Exp_057,RF,Inlier,0.17395640977235102,-0.3345253762449576,0.6816752506148933,0.4197424846422141,3
Exp_057,XGB,Inlier,-0.02448557344455249,-0.1828142116278353,0.14762770675129822,0.14009398841853266,5
Exp_057,SVR,Inlier,0.22440877234195206,-0.2746897623403178,0.667162987603822,0.37703342559285674,2
Exp_057,LSTM,Inlier,0.25582019649387944,-0.33767558674235115,0.6816752506148933,0.38284752125261934,1
Exp_057,CNN,Inlier,0.03528485262616469,-0.045403106374124064,0.12031062424173486,0.0686381898330961,4
Exp_057,Transformer,Type2,-0.20600911530568194,-0.33767558674235115,0.0996593604270519,0.16281323098378023,6
Exp_058,RF,Inlier,0.21105637911471048,-0.2985503466916617,0.7001269067968258,0.35696458414407317,1
Exp_058,XGB,Inlier,-0.1010458791542436,-0.4642315536477085,0.16531682948019805,0.21362826042616762,4
Exp_058,SVR,Inlier,0.210063168272965,-0.17554119938861187,0.7001269067968258,0.3235362232751172,2
Exp_058,LSTM,Inlier,0.18580823587564535,-0.018986642487318198,0.49171125422594797,0.22792109395989632,3
Exp_058,CNN,Inlier,-0.21728567761735645,-0.531834653454887,0.006982399778689363,0.1880621858802806,6
Exp_058,Transformer,Type2,-0.1992780440933613,-0.5318346534548871,0.19420382851171925,0.2715476650658627,5
Exp_059,RF,Inlier,0.08878682246953826,-0.5050962837954467,0.7841641633372904,0.42319681230957146,2
Exp_059,XGB,Inlier,-0.19937293453360722,-0.5050962837954467,0.06901429553435348,0.20440878114539734,6
Exp_059,SVR,Inlier,0.09693766635574337,-0.22689690248387245,0.7841641633372906,0.35783583294324095,1
Exp_059,LSTM,Inlier,0.026960007980056787,-0.04353181832594849,0.06901429553435348,0.0437908769414508,3
Exp_059,CNN,Inlier,-0.0011378983803647879,-0.12592868086958203,0.2527001057551881,0.13526487698159168,5
Exp_059,Transformer,Type2,0.02243020517408162,-0.30934249284897963,0.25270010575518814,0.20543825838023191,4
Exp_060,RF,Inlier,0.3754536287596998,-0.2469600131215797,0.7643863572981047,0.39305518118050686,3
Exp_060,XGB,Inlier,0.39272947954749754,-0.3268207192795123,0.7521355082583153,0.3965746186095444,2
Exp_060,SVR,Inlier,0.3972663098159244,-0.31600275905550523,0.7643863572981047,0.39142348706216595,1
Exp_060,LSTM,Inlier,0.34656006892288055,0.029397210136687557,0.5352838310747163,0.21070381098150637,4
Exp_060,CNN,Inlier,-0.15647460538355165,-0.32682071927951223,0.07801325440215143,0.17446347900843007,6
Exp_060,Transformer,Inlier,0.18694790076091464,0.07801325440215143,0.3138074725933523,0.0951704384462732,5
Exp_061,RF,Inlier,0.4818818264224271,-0.06015134296123377,0.771040135025317,0.29216573160782994,1
Exp_061,XGB,Inlier,0.40961503510457337,-0.142263753305685,0.6291296894318416,0.28947956157118293,3
Exp_061,SVR,Inlier,0.4505901706158143,-0.05608233666800298,0.771040135025317,0.27820887902457453,2
Exp_061,LSTM,Inlier,0.3273981398730275,0.024818365680114054,0.4740042858021039,0.159153475469263,5
Exp_061,CNN,Inlier,-0.044184203041506234,-0.142263753305685,0.024818365680114043,0.06003313789202033,6
Exp_061,Transformer,Type2,0.3978041700505215,0.012758052047276508,0.6398883027200448,0.21995427815915936,4
Exp_062,RF,Inlier,0.3420467953793283,-0.48248430424258354,0.8089722935873309,0.4618715290911362,1
Exp_062,XGB,Inlier,-0.3967835342979983,-0.7662569196984221,-0.038422895512405325,0.2384149125009145,6
Exp_062,SVR,Inlier,0.3308185182437836,-0.28819217624131077,0.808972293587331,0.398166959741154,2
Exp_062,LSTM,Inlier,0.10404020104491177,-0.12187917120849963,0.2894988998536704,0.16656679731151652,4
Exp_062,CNN,Inlier,-0.005242081374264828,-0.7662569196984222,0.3775237909280355,0.4201811025637537,5
Exp_062,Transformer,Type2,0.30635551365822894,-0.4085613757952698,0.749461583963122,0.4276123378724356,3
Exp_063,RF,Inlier,0.30027912196886697,-0.19516040795994533,0.7884832033097435,0.40040587630515373,3
Exp_063,XGB,Inlier,0.31254102690515567,-0.2003037839704533,0.7699707956797119,0.37922231503110887,2
Exp_063,SVR,Inlier,0.3301619607006624,-0.24740820147275305,0.7884832033097435,0.40312122081340396,1
Exp_063,LSTM,Inlier,0.13157784198237085,-0.06888382283338382,0.49912196484177107,0.1935254717940611,5
Exp_063,CNN,Inlier,-0.1317227489765142,-0.24740820147275303,0.11773496711970531,0.12987921002513136,6
Exp_063,Transformer,Inlier,0.223599323017538,-0.13347631859912465,0.4991219648417711,0.20368864902573267,4
Exp_064,RF,Inlier,0.27799038363934514,-0.2049510540546795,0.763966001442175,0.3976822536015546,1
Exp_064,XGB,Inlier,0.262559690708858,-0.12249885431740866,0.7949666745463105,0.4024505875595818,2
Exp_064,SVR,Inlier,0.23254214780689225,-0.340458836724261,0.7949666745463106,0.499888620017445,3
Exp_064,LSTM,Inlier,0.015268073594395975,-0.3372330513278369,0.2776829835534753,0.22832154099663382,4
Exp_064,CNN,Inlier,-0.12852181916453861,-0.340458836724261,0.25186958759881517,0.21651029291874757,6
Exp_064,Transformer,Inlier,-0.10686797690581713,-0.3334460837832386,0.25186958759881517,0.1952238583317879,5
