experiment,model,val_rmse,train_rmse,gap_ratio,median_r,deviation,outlier,otype,val_rmse_zscore,gap_zscore,test_mae
Exp_003,Transformer,6.552994010318304,5.1450293320838245,1.2736553258218706,25.29088359763415,-18.737889587315845,False,Inlier,-0.954363375804299,-1.0708429033463045,4.523410482344285
Exp_004,RF,35.52612532964075,14.079453337810705,2.5232602770332355,27.897230096370727,7.628895233270022,False,Inlier,0.7904153145048901,0.08041467031104804,6.433764717867735
Exp_004,XGB,32.98090896936154,26.374142601214903,1.2505016548990036,27.897230096370727,5.0836788729908164,False,Inlier,-1.0075530208618584,-0.559340464278767,3.3285334655661987
Exp_004,SVR,32.39936443805188,24.788243679133217,1.307045584085722,27.897230096370727,4.502134341681156,False,Inlier,-1.0788172214270344,1.0233409692934612,5.571532487460247
Exp_004,LSTM,23.395095754689567,21.2143506979853,1.10279574839457,27.897230096370727,-4.50213434168116,False,Inlier,1.1503043757039935,-1.0356196082396192,7.319025887383355
Exp_004,CNN,21.885073712830295,14.501131737049818,1.509197634341518,27.897230096370727,-6.012156383540432,False,Inlier,0.23087755432574278,-0.8328028248841477,14.270996305677626
Exp_004,Transformer,20.54322537691486,6.1123773168565965,3.360922323996778,27.897230096370727,-7.354004719455865,False,Inlier,3.2192372694765883,1.8764714252844625,4.625479355357052
Exp_005,RF,35.35989909174025,12.405664643218435,2.8503026729059426,30.111402181625287,5.248496910114966,False,Inlier,0.5787527072932511,0.4765732677411501,6.599784598573789
Exp_005,XGB,34.41721661908016,26.147311233961037,1.3162812922186002,30.111402181625287,4.30581443745487,False,Inlier,-0.6907191606328129,-0.3536417495232941,5.721667233635397
Exp_005,SVR,33.00488294037129,26.488572033563056,1.246004612802516,30.111402181625287,2.8934807587460014,False,Inlier,0.6690622736479481,-0.49777906688613827,4.922211312783627
Exp_005,LSTM,20.932732520420846,16.188385103396183,1.293071074521778,30.111402181625287,-9.178669661204442,False,Inlier,0.25701839627403145,-0.4840428465817075,6.518266839918748
Exp_005,CNN,27.217921422879286,18.14500175991139,1.500023079800032,30.111402181625287,-2.8934807587460014,False,Inlier,1.555352691672822,-0.8537727008373969,7.964504042482065
Exp_005,Transformer,11.091662917123376,6.160671137625088,1.800398474345307,30.111402181625287,-19.01973926450191,True,Type2,0.3996236299707286,-0.32705802555698255,4.51515166042677
Exp_006,RF,34.44634306539539,18.73863913293123,1.8382521175115372,27.508118220284032,6.938224845111357,False,Inlier,-0.5845152148611844,-0.7493611481425209,4.651042376239076
Exp_006,XGB,36.03216810950841,21.839042014326445,1.6498969179083613,27.508118220284032,8.52404988922438,False,Inlier,-0.3344784103344523,0.6896036714465574,7.78651471231498
Exp_006,SVR,32.466045567796336,24.845893526191073,1.3066966391678587,27.508118220284032,4.957927347512303,False,Inlier,-0.8863365970657269,1.0146453818064556,5.680806313444435
Exp_006,LSTM,21.059754144550364,16.079428928539993,1.3097327173834266,27.508118220284032,-6.448364075733668,False,Inlier,0.3030987772430964,-0.435743494266396,6.49623425801595
Exp_006,CNN,22.550190872771733,12.673903823793426,1.7792616376366217,27.508118220284032,-4.9579273475123,False,Inlier,0.3960671846437709,-0.21552940600283593,6.741169164383334
Exp_006,Transformer,8.112535041063333,4.549866416563165,1.7830270821865806,27.508118220284032,-19.3955831792207,True,Type2,-0.4891172135570972,-0.35158720800582427,2.5319936041738473
Exp_007,RF,35.841982175332184,11.782723930960534,3.04190969637785,26.479793186418362,9.362188988913822,False,Inlier,1.1926086403546483,0.7086739697734709,6.806571066954794
Exp_007,XGB,36.63357974644387,31.949565243337524,1.1466065177235272,26.479793186418362,10.153786560025509,False,Inlier,-0.20181353832443352,-0.88422970139185,10.671819325366052
Exp_007,SVR,32.50359380743092,25.109428267145127,1.294477654433925,26.479793186418362,6.023800621012555,False,Inlier,-0.7779504818899632,0.710152479583044,5.409250333691559
