experiment,model,otype,param_max_depth,param_min_samples_split,param_max_features,param_learning_rate,param_subsample,param_colsample_bytree,param_reg_alpha,param_reg_lambda,param_C,param_epsilon,param_units,param_dropout,param_l2_reg,param_lr,param_filters,param_kernel_size,param_num_heads,param_d_model,param_num_layers
Exp_017,XGB,Inlier,3,,,0.005,0.6,0.9,5.0,1.0,,,,,,,,,,,
Exp_017,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_017,LSTM,Inlier,,,,,,,,,,,64,0.4,0.005,0.002,,,,,
Exp_017,CNN,Inlier,,,,,,,,,,,,0.2,0.001,,32,5,,,
Exp_017,Transformer,Type2,,,,,,,,,,,,0.3,,0.002,,,4,16,1
Exp_018,RF,Inlier,10,40,0.6,,,,,,,,,,,,,,,,
Exp_018,XGB,Inlier,3,,,0.03,0.6,0.6,1.0,1.0,,,,,,,,,,,
Exp_018,SVR,Inlier,,,,,,,,,80.0,1.5,,,,,,,,,
Exp_018,LSTM,Inlier,,,,,,,,,,,32,0.1,0.02,0.002,,,,,
Exp_018,CNN,Inlier,,,,,,,,,,,,0.1,0.01,,16,7,,,
Exp_018,Transformer,Inlier,,,,,,,,,,,,0.1,,0.0005,,,2,48,2
Exp_019,RF,Inlier,10,20,0.6,,,,,,,,,,,,,,,,
Exp_019,XGB,Inlier,3,,,0.03,0.7,0.6,2.0,10.0,,,,,,,,,,,
Exp_019,SVR,Inlier,,,,,,,,,30.0,2.0,,,,,,,,,
Exp_019,LSTM,Inlier,,,,,,,,,,,32,0.2,0.02,0.002,,,,,
Exp_019,CNN,Inlier,,,,,,,,,,,,0.3,0.01,,32,3,,,
Exp_019,Transformer,Inlier,,,,,,,,,,,,0.2,,0.0005,,,2,24,2
Exp_020,RF,Inlier,10,10,0.7,,,,,,,,,,,,,,,,
Exp_020,XGB,Inlier,5,,,0.005,0.9,0.6,2.0,1.0,,,,,,,,,,,
Exp_020,SVR,Inlier,,,,,,,,,80.0,2.0,,,,,,,,,
Exp_020,LSTM,Inlier,,,,,,,,,,,32,0.3,0.01,0.002,,,,,
Exp_020,CNN,Inlier,,,,,,,,,,,,0.3,0.001,,64,3,,,
Exp_020,Transformer,Inlier,,,,,,,,,,,,0.4,,0.0005,,,4,32,1
Exp_021,RF,Inlier,15,30,0.6,,,,,,,,,,,,,,,,
Exp_021,XGB,Inlier,6,,,0.01,0.7,0.9,1.0,3.0,,,,,,,,,,,
Exp_021,SVR,Inlier,,,,,,,,,30.0,1.0,,,,,,,,,
Exp_021,LSTM,Inlier,,,,,,,,,,,16,0.2,0.02,0.001,,,,,
Exp_021,CNN,Inlier,,,,,,,,,,,,0.4,0.02,,16,5,,,
Exp_021,Transformer,Type2,,,,,,,,,,,,0.3,,0.002,,,2,32,2
Exp_022,RF,Inlier,6,40,0.3,,,,,,,,,,,,,,,,
Exp_022,XGB,Inlier,4,,,0.01,0.8,0.6,1.0,3.0,,,,,,,,,,,
Exp_022,SVR,Inlier,,,,,,,,,50.0,1.5,,,,,,,,,
Exp_022,LSTM,Inlier,,,,,,,,,,,24,0.1,0.001,0.002,,,,,
Exp_022,CNN,Inlier,,,,,,,,,,,,0.4,0.001,,24,3,,,
Exp_022,Transformer,Inlier,,,,,,,,,,,,0.4,,0.002,,,4,48,2
Exp_023,RF,Inlier,6,30,0.3,,,,,,,,,,,,,,,,
Exp_023,XGB,Inlier,6,,,0.03,0.8,0.6,0.5,3.0,,,,,,,,,,,
