experiment,model,outlier_type,shap_inlier_val_rmse,shap_type1_val_rmse,shap_type2_val_rmse,shap_inlier_mean_abs_diff,shap_type1_mean_abs_diff,shap_type2_mean_abs_diff,shap_inlier_slope,shap_type1_slope,shap_type2_slope,shap_inlier_slope_dev,shap_type1_slope_dev,shap_type2_slope_dev,shap_inlier_max_jump,shap_type1_max_jump,shap_type2_max_jump,shap_inlier_slope_consistency,shap_type1_slope_consistency,shap_type2_slope_consistency,shap_inlier_val_rmse_zscore,shap_type1_val_rmse_zscore,shap_type2_val_rmse_zscore,shap_inlier_final_pred,shap_type1_final_pred,shap_type2_final_pred,shap_inlier_mean_abs_div,shap_type1_mean_abs_div,shap_type2_mean_abs_div,shap_inlier_late_div,shap_type1_late_div,shap_type2_late_div,shap_inlier_gap_ratio,shap_type1_gap_ratio,shap_type2_gap_ratio,shap_inlier_max_abs_div,shap_type1_max_abs_div,shap_type2_max_abs_div
Exp_004,SVR,Inlier,0.16154828748660752,-0.0648140891951032,-0.19630811962510172,0.07909084620143338,-0.013787384957615575,-0.07014653238556465,0.06287916579583697,-0.044298254248919394,-0.09211999204524643,0.02120866436376333,-0.03499870655253833,-0.01806774960109203,0.09944766727867217,-0.004330091335352892,-0.09627001893467238,0.01495055867224222,-0.014945865700236835,-0.004672073623216999,-0.0007819330015305299,-0.030779081811908957,0.006520902538595802,0.006228185405282357,-0.059231810304103766,-0.0007853113690178414,0.01301565615723321,-0.07620088150929205,-0.005586537261358318,0.01247526867138366,-0.04445382079985777,-0.005890284412602772,0.003993041246177238,-0.015804040927746697,-0.0051612264568398035,0.02298823409928521,-0.0759249789661879,-0.00784575874161894
Exp_004,LSTM,Inlier,0.1661778308383322,-0.06734380578336771,-0.20054345442125568,0.07600847614338475,-0.013626274418617872,-0.05999863100593431,0.006713129828634754,-0.04399031966727136,-0.00045673658267529453,0.01703383214575958,-0.03562311206835817,-0.014514894501998171,0.06525410028652896,-0.00486626836174196,-0.060366449552810925,0.03493165516086417,-0.014762953264814256,-0.028891392643972162,0.0405300265913144,-0.03331658364276119,-0.041998257001532584,0.039204927651353874,-0.05889051075239386,-0.05608006563169634,0.009392347898093723,-0.08110209683151325,-0.010608720117861167,0.012036697800928657,-0.04430252673578314,-0.0077357669092435665,0.013636495042603397,-0.0036366304464634553,-0.01137262098318746,0.007999924774093024,-0.07810792433577717,-0.00018691600396412582
Exp_004,CNN,Inlier,0.1397409996754553,-0.0648140891951032,-0.1637277728215163,0.073163352183915,-0.013787384957615575,-0.05983606273767091,0.05209995659525411,-0.04411759069267264,-0.07749960976920196,0.014157638454931214,-0.03499870655253833,-0.01173209118275226,0.07339591210081431,-0.004691418447846413,-0.06256510460429282,0.029595887242720772,-0.014945865700236835,-0.020119514065677815,0.02305435527278952,-0.030779081811908957,-0.015446968425983866,0.0054430941378020735,-0.059231810304103766,0.0021550099662618998,0.015437938957420284,-0.07620088150929205,-0.014344694341640946,0.050171612825590815,-0.04445382079985777,-0.06322241651408023,0.004482358803414689,-0.015804040927746697,-0.003162351802152495,0.01407924310375724,-0.07574431540994113,-0.0028311256190282387
Exp_004,Transformer,Inlier,0.19604351659897268,-0.06108308640616798,-0.23844365162438882,-0.044457146555925676,-0.013697036248898986,0.03637068984459432,0.0025203288735275147,-0.042435879107725796,0.002142864868492791,0.01073164030750402,-0.034159240316104136,0.0014560445685931254,0.07352081727748823,-0.00413321694294355,-0.06616299881593501,0.01286632599470297,-0.01526239138012351,-0.004232058365555796,0.04985179664374886,-0.025413015043242324,-0.04799928494086667,0.005075505669434537,-0.05891672025836126,-0.0008392626667953467,0.0340946003106504,-0.07960586253014984,-0.03332576403183224,0.011941674036169312,-0.04708607898557203,7.75786711393424e-05,0.06332344634445383,-0.01781650942590568,-0.0654559002289931,0.01721774247996906,-0.07995996966366818,-0.007214535713484543
Exp_005,RF,Inlier,0.12116257153813224,-0.0648140891951032,-0.15122127456589124,0.061881911608616,-0.013787384957615575,-0.051464790939644095,0.05013303029920498,-0.044298254248919394,-0.07570376106149704,0.016948446966500167,-0.03499870655253833,-0.01778350011317377,0.08078947616555021,-0.004330091335352892,-0.07629421102811647,0.016351521734746674,-0.014945865700236835,-0.006008423872625866,0.030374259952098186,-0.030779081811908957,-0.030020553712419167,0.04046267825931878,-0.059231810304103766,-0.03372274779332817,0.01972209988337205,-0.07620088150929205,-0.015314170212211327,0.005465365463168626,-0.04445382079985777,0.0006724561154781661,0.03270666973830211,-0.015804040927746697,-0.03199875983618635,0.02104561076737638,-0.0759249789661879,-0.0074729648981210145
Exp_005,XGB,Inlier,0.151643086734807,-0.06470558816973929,-0.1792742475905013,-0.03258287534476069,-0.013871842465773918,0.025708227169675014,0.06739768880462396,-0.04411759069267264,-0.0923928551912162,0.020195434396286155,-0.03499870655253833,-0.016673030833862144,0.09916202478836904,-0.004774872205071846,-0.06877090278301685,-0.003595234079041115,-0.014945865700236835,0.0008657162768231385,0.018288252587139783,-0.030642339633273844,-0.0004928541815186838,0.04722558348169116,-0.059231810304103766,-0.06255659958745131,0.023166370493330847,-0.07636249569481188,-0.013063468887668718,0.059719666372174275,-0.04445268677728234,-0.07459919837794705,0.00612860727001154,-0.015965655113266534,-0.005591449692932881,0.035240392155828575,-0.07549955300009215,-0.007492038238118536
Exp_005,SVR,Inlier,0.1556993961426658,-0.0648140891951032,-0.18593788773226336,0.07559699751805954,-0.013787384957615575,-0.06571340509841433,0.05253463067331953,-0.044298254248919394,-0.08146343376348462,0.01813354163195123,-0.03499870655253833,-0.015442468763631074,0.0937518125251649,-0.004330091335352892,-0.08635517202540427,0.015315427267472424,-0.014945865700236835,-0.005181183208698402,0.033522434602274734,-0.030779081811908957,-0.035637786656964016,0.006593774141410169,-0.059231810304103766,-0.002170073239212791,0.011984979259456654,-0.07620088150929205,-0.004479245546835613,0.005041949327450814,-0.04445382079985777,0.001433000609856335,0.0054453414744342595,-0.015804040927746697,-0.0075422526821892245,0.023423357812726763,-0.0759249789661879,-0.00784279381049497
Exp_005,LSTM,Inlier,0.16944714302544767,-0.0648140891951032,-0.21245630524297784,0.08327910014314296,-0.013788083387514782,-0.07658070946044278,0.0018269082803426932,-0.04429790205969418,0.0016034141142451748,0.01583802891455869,-0.03499870655253833,-0.014299202183818296,0.0848805976748459,-0.004611070628574084,-0.08220181423780304,0.031559656650607434,-0.014945865700236835,-0.026950008069129495,0.025518617376827885,-0.030638419044961368,-0.02293143940379167,0.02948585756825975,-0.059231810304103766,-0.028377998409476836,0.02007098032985216,-0.07620088150929205,-0.01765397721821583,0.004536385147839668,-0.04445382079985777,0.0020520456133107587,0.004843980366084504,-0.015663378160799112,-0.005821757479163387,0.022053907083121892,-0.0759249789661879,-0.00915494232092599
Exp_005,CNN,Inlier,0.16237413330420555,-0.0648140891951032,-0.20626582286425302,0.08046186489153112,-0.013784387150955642,-0.0702544897399211,0.006701973770276949,-0.04429790205969418,-0.0021346077308166535,0.010052257033611947,-0.03499870655253833,0.0004838747739109259,0.08159130550304261,-0.004611070628574084,-0.07888345017404366,0.035242141254642895,-0.014945865700236835,-0.02753045600726518,0.03478379783052457,-0.03023351313098287,-0.03838170552330422,0.036224602236504456,-0.059231810304103766,-0.04264894347840339,0.02410042432799631,-0.07620088150929205,-0.022939154535592015,0.004897879621844318,-0.04445382079985777,0.000448854213284993,0.003831378123163228,-0.015663378160799112,-0.003037976168557495,0.01678188447904221,-0.07633358111672553,-0.00518882468277524
Exp_005,Transformer,Type2,-0.042242489341004524,-0.06440709220071769,0.03678321212350667,-0.06970181187549489,-0.013972121225637102,0.06558671005569223,-0.02097679358867048,-0.04608990920406693,0.03075264013721674,-0.0015043518804626363,-0.035157834015384005,0.0061519257600125415,-0.10053038646241123,-0.005817723565817389,0.09106443360372835,-0.011779047114239894,-0.01456933714776882,0.010281023295721517,0.043635916247522374,-0.029950983873065495,-0.05167865429790388,-0.013938702755821436,-0.05844109939507924,0.019460965464587872,0.0005829435554573902,-0.07653037973137244,0.0077663115024800295,0.03011494527686728,-0.043789468057880435,-0.03210136824474723,0.004395291464420514,-0.015463170583774931,-0.002239048753464647,0.01588184437958389,-0.07537988730829893,-0.004363410442940123
Exp_006,RF,Inlier,0.17254695236574352,-0.06481360840095315,-0.20807453275087134,0.03826950824359445,-0.013465771403301382,-0.031039231010858932,0.06930715400037982,-0.04411759069267264,-0.1004044310681719,0.021998493212340882,-0.03499870655253833,-0.018511381681950444,0.10279471544936257,-0.004691418447846413,-0.096411598886109,0.005930506416536278,-0.014945865700236835,-0.0015702643652008071,0.008893879204107748,-0.030779081811908957,0.0004966078566763793,0.010184615442415185,-0.059231810304103766,-0.0026167629783467616,0.013541601750515735,-0.07636249569481188,-0.005689723502417455,0.02380123953204725,-0.04445268677728234,-0.02032633435560512,0.003617013929377297,-0.015965655113266534,-0.00032961114461989305,0.026157962829965548,-0.07574431540994113,-0.00799655544982789
Exp_006,XGB,Inlier,0.12897107338226357,-0.0648140891951032,-0.15618678161123184,0.06078013932763704,-0.013788083387514782,-0.04307792292612581,0.05787092853852344,-0.04429790205969418,-0.08038123018296034,0.015149472898628934,-0.03499870655253833,-0.015246752763377188,0.0814599502689368,-0.004611070628574084,-0.06425757984283086,0.008940852737768018,-0.014945865700236835,-0.004471856380907001,0.014909448759019988,-0.030638419044961368,-0.0033589320062001496,0.03784744437729116,-0.059231810304103766,-0.05138951987180559,0.012983568778713204,-0.07620088150929205,-0.00450501265020462,0.04957189995047451,-0.04445382079985777,-0.06356474481269642,0.0034932972383698536,-0.015663378160799112,-0.00166214536399895,0.025065566118760065,-0.0759249789661879,-0.008230223505397144
Exp_006,SVR,Inlier,0.16284747897961233,-0.0648140891951032,-0.19535283754523075,0.07725080760323665,-0.013787384957615575,-0.07005284667909129,0.06249178911823795,-0.044298254248919394,-0.09115964508635277,0.02135541745861921,-0.03499870655253833,-0.019398438938124728,0.09939075308988801,-0.004330091335352892,-0.09662326498479154,0.01587942651436013,-0.014945865700236835,-0.004221319472605871,0.004237713450951088,-0.030779081811908957,0.002248998040510209,0.001295668436636752,-0.059231810304103766,0.0034159292351471932,0.012899775164888948,-0.07620088150929205,-0.005206100429525923,0.012323498279633362,-0.04445382079985777,-0.0059776045223597085,0.00407639673792376,-0.015804040927746697,-0.00504491831209853,0.022994917542398477,-0.0759249789661879,-0.008960653223212427
Exp_006,LSTM,Inlier,0.15290178226909876,-0.0648140891951032,-0.1879460009968884,0.07897392685865406,-0.013788083387514782,-0.06581352576720254,0.009292387668798257,-0.04429790205969418,-0.005582986003587453,0.01846904701428525,-0.03499870655253833,-0.015142347655140397,0.08366335007952617,-0.004611070628574084,-0.07538956497402736,0.031146598608125558,-0.014945865700236835,-0.026570512616513796,0.022087159923675343,-0.030638419044961368,-0.01813981428751234,0.04057955776107776,-0.059231810304103766,-0.057760083271415304,0.02440402568502683,-0.07620088150929205,-0.021185461313286597,0.016111225687472374,-0.04445382079985777,-0.011416483564115924,0.0049773936008911755,-0.015663378160799112,-0.0057938773559187765,0.012182811490467026,-0.0759249789661879,-0.003677187465732707
